1000 10000
483 510 0.74
492 624 0.09
147 183 0.50
55 582 0.69
116 592 0.25
190 251 0.67
9 186 0.10
636 415 0.76
638 757 0.37
968 961 0.55
843 735 0.23
553 949 0.99
698 310 0.70
9 11 0.37
545 73 0.68
66 44 0.28
912 980 0.80
342 129 0.94
130 817 0.64
274 225 0.57
591 854 0.28
316 548 0.93
333 578 0.26
375 459 0.20
325 690 0.13
803 894 0.34
843 829 0.27
221 993 0.98
648 829 0.26
977 567 0.78
268 534 0.38
252 741 0.66
199 46 0.31
346 622 0.72
627 896 0.63
815 145 0.11
51 124 0.91
515 717 0.41
277 514 0.64
188 419 0.03
795 77 0.48
174 890 0.46
230 546 0.16
144 185 0.75
566 988 0.34
148 785 0.74
452 655 0.95
663 35 0.66
97 232 0.73
386 13 0.62
975 253 0.48
407 865 0.80
912 205 0.07
272 172 0.27
491 816 0.61
273 389 0.84
787 767 0.79
443 53 0.43
46 402 0.56
418 781 0.14
662 104 0.24
3 445 0.98
222 563 0.90
405 497 0.47
353 800 0.48
690 417 0.11
211 303 0.31
15 999 0.82
381 99 0.10
111 846 0.79
297 954 0.74
813 182 0.17
10 293 0.34
11 68 0.12
985 817 0.97
927 178 0.42
784 324 0.53
551 582 0.80
440 762 0.89
901 531 0.31
168 681 0.46
742 247 0.00
816 117 0.42
215 109 0.26
881 593 0.47
55 644 0.24
8 941 0.23
315 571 0.50
465 234 0.88
690 997 0.50
582 671 0.52
237 902 0.74
122 710 0.99
945 561 0.00
513 981 0.80
163 716 0.31
203 907 0.41
117 833 0.01
25 755 0.14
356 330 0.95
928 347 0.68
213 463 0.64
990 521 0.22
256 600 0.45
0 605 0.21
477 635 0.20
574 91 0.73
744 802 0.01
212 760 0.38
51 186 0.02
910 121 0.27
320 169 0.55
982 351 0.52
218 568 0.82
473 893 0.17
916 953 0.37
278 342 0.62
740 645 0.18
986 517 0.79
101 994 0.11
718 851 0.63
153 921 0.28
636 692 0.93
88 322 0.20
753 624 0.24
58 550 0.45
940 584 0.55
887 997 0.48
597 719 0.62
657 362 0.89
767 19 0.31
201 54 0.70
36 113 0.85
168 329 0.91
59 176 0.97
940 735 0.62
558 218 0.40
463 402 0.31
819 746 0.84
662 116 0.11
866 659 0.17
550 985 0.25
92 47 0.39
148 361 0.71
438 71 0.42
24 311 0.67
720 768 0.23
758 540 0.41
926 312 0.05
600 618 0.10
710 659 0.69
750 924 0.41
383 969 0.06
96 153 0.16
996 548 0.17
10 217 0.56
745 252 0.07
980 637 0.99
581 910 0.77
711 979 0.73
505 859 0.05
34 195 0.16
181 272 0.05
399 457 0.91
453 539 0.25
980 748 0.41
158 96 0.53
966 971 0.73
362 711 0.02
396 941 0.32
989 618 0.81
646 981 0.84
665 332 0.44
797 343 0.53
45 466 0.03
923 900 0.87
11 334 0.32
285 99 0.64
877 521 0.69
769 318 0.65
208 112 0.05
122 730 0.39
786 603 0.86
473 364 0.06
146 314 0.89
328 553 0.14
521 286 0.27
96 709 0.05
133 960 0.25
613 96 0.13
669 142 0.21
962 184 0.68
575 215 0.08
377 904 0.62
748 649 0.23
342 94 0.70
180 109 0.09
696 788 0.39
859 288 0.84
942 793 0.95
462 807 0.57
692 448 0.16
360 873 0.62
41 306 0.70
204 170 0.91
321 66 0.02
750 165 0.51
151 770 0.18
354 138 0.64
320 262 0.65
212 284 0.35
892 398 0.82
605 835 0.57
89 79 0.39
181 615 0.04
973 715 0.96
139 843 0.80
122 1 0.14
877 367 0.19
593 952 0.67
762 977 0.70
464 884 0.77
230 539 0.78
446 548 0.41
875 338 0.65
108 67 0.36
465 938 0.06
444 221 0.54
121 41 0.03
653 0 0.25
430 139 0.61
767 422 0.87
734 181 0.23
878 773 0.42
831 965 0.60
675 681 0.11
141 381 0.31
145 634 0.57
71 764 0.55
258 443 0.84
135 867 0.92
31 146 0.09
185 550 0.73
989 138 0.80
756 171 0.83
811 694 0.35
884 992 0.64
10 411 0.80
980 435 0.48
598 870 0.23
430 980 0.67
70 463 0.70
873 258 0.96
893 991 0.26
737 307 0.01
239 189 0.44
333 136 0.46
675 229 0.33
604 5 0.82
396 962 0.91
94 975 0.82
24 49 0.65
335 767 0.37
120 410 0.87
836 432 0.98
12 562 0.10
424 870 0.39
556 55 0.02
224 584 0.30
573 911 0.40
660 117 0.53
521 425 0.47
332 166 0.21
51 566 0.86
802 450 0.77
109 276 0.62
678 625 0.86
96 737 0.74
405 719 0.76
178 655 0.97
86 12 0.43
124 183 0.40
323 458 1.00
878 24 0.15
208 890 0.03
502 892 0.79
599 326 0.13
416 87 0.83
894 774 0.04
146 448 0.44
963 651 0.08
857 140 0.84
213 104 0.04
878 378 0.87
915 492 0.53
695 832 0.62
277 779 0.50
386 738 0.42
367 755 0.33
810 250 0.63
47 241 1.00
543 796 0.20
178 832 0.44
878 741 0.50
739 33 0.43
188 297 0.92
904 970 0.66
423 658 0.96
597 67 0.63
669 726 0.38
429 593 0.73
350 66 0.53
216 34 0.97
217 271 0.25
715 56 0.44
277 749 0.17
114 897 0.22
409 477 0.65
544 160 0.93
505 4 0.51
52 639 0.00
400 232 0.05
236 492 0.50
981 454 0.44
140 234 0.54
269 970 0.41
889 95 0.26
176 734 0.69
948 672 0.03
454 345 0.26
623 998 0.21
813 286 0.67
904 518 0.56
889 200 0.58
120 907 0.59
390 753 0.75
779 658 0.99
838 243 0.29
110 810 0.67
932 124 0.28
509 295 0.16
900 978 0.52
374 947 0.12
598 787 0.64
876 465 0.71
586 251 0.49
148 434 0.53
332 695 0.74
11 970 0.17
349 736 0.20
158 926 0.22
642 859 0.96
219 156 0.86
257 511 0.44
766 194 0.89
162 52 0.29
863 876 0.91
198 901 0.92
471 403 0.70
474 117 0.79
20 57 0.53
648 738 0.34
557 366 0.06
704 814 0.36
635 626 0.15
599 919 0.11
160 972 0.74
786 528 0.08
74 782 0.58
540 551 0.64
940 265 0.49
155 579 0.95
445 933 0.01
462 637 0.40
464 466 0.77
138 799 0.32
324 614 0.98
110 51 0.17
989 884 0.76
445 790 0.81
285 845 0.82
747 942 0.58
159 820 0.34
243 767 0.37
501 495 0.57
191 359 0.79
856 530 0.41
324 772 0.41
807 857 0.75
562 924 0.08
389 832 0.80
448 260 0.75
907 783 0.21
695 932 0.30
847 973 0.57
869 625 0.39
321 955 0.24
984 229 0.40
701 152 0.80
277 656 0.19
334 931 0.13
231 489 0.64
782 971 0.52
786 502 0.30
577 27 0.62
762 9 0.78
321 709 0.89
800 294 0.30
602 638 0.54
141 82 0.02
60 102 0.28
761 215 0.39
157 988 0.15
144 201 0.72
425 560 0.63
814 186 0.11
351 694 0.18
12 80 0.01
766 723 0.32
213 561 0.26
658 990 0.94
35 305 0.55
171 945 0.04
451 449 0.64
641 689 0.98
36 173 0.60
865 83 0.75
594 883 0.32
79 201 0.74
7 348 0.25
154 816 0.12
926 690 0.53
893 677 0.43
909 896 0.57
675 462 0.89
162 263 0.15
797 959 0.19
409 870 0.63
466 145 0.37
943 737 0.77
349 708 0.61
250 891 0.23
315 717 0.88
387 840 0.48
461 27 0.77
194 950 0.16
584 18 0.60
785 813 0.87
551 982 0.15
924 708 0.13
564 611 0.29
161 144 0.48
0 18 0.34
298 795 0.68
216 640 0.37
30 466 0.87
342 448 0.84
859 86 0.37
185 395 0.43
708 849 0.96
510 869 0.45
989 856 0.26
351 419 0.60
523 428 0.66
826 631 0.78
423 999 0.69
289 391 0.75
915 439 0.11
293 503 0.48
147 801 0.28
84 460 0.76
285 627 0.81
753 43 0.65
716 185 0.26
809 873 0.86
403 760 0.01
117 644 0.13
652 657 0.68
838 748 0.51
88 950 0.35
35 657 0.19
143 762 0.88
535 708 0.13
493 641 0.84
131 130 0.01
957 18 0.96
959 612 0.77
302 345 0.17
601 120 0.92
198 222 0.37
199 819 0.51
978 626 0.32
467 139 0.50
654 157 0.64
144 166 0.95
97 154 0.05
502 403 0.16
691 152 0.80
476 250 0.13
641 620 0.68
789 412 0.84
149 829 0.91
176 885 0.49
822 732 0.04
469 812 0.42
20 718 0.05
202 681 0.90
996 711 0.21
559 759 0.55
465 265 0.80
802 904 0.89
3 553 0.90
686 238 0.34
779 440 0.43
651 373 0.02
552 270 0.89
606 577 0.80
21 85 0.47
519 442 0.01
794 343 0.90
266 172 0.46
451 104 0.45
146 902 0.47
219 196 0.88
271 669 0.41
437 133 0.37
238 352 0.95
228 798 0.15
690 567 0.47
357 126 0.77
310 812 0.16
811 777 0.74
82 711 0.01
775 259 0.03
66 371 0.12
856 829 0.43
234 685 0.95
808 928 0.94
56 197 0.37
146 315 0.09
129 527 0.00
829 982 0.41
385 677 0.80
502 742 0.23
531 852 0.51
424 568 0.39
540 670 0.93
959 196 0.56
251 19 0.00
180 29 0.44
645 53 0.88
423 907 0.18
156 6 0.65
194 497 0.84
235 519 0.72
109 226 0.66
934 29 0.86
133 370 0.43
562 932 0.61
856 377 0.82
990 772 0.90
173 726 0.22
389 553 0.81
89 511 0.94
183 541 0.13
972 390 0.37
350 502 0.65
482 150 0.98
356 675 0.30
178 191 0.01
880 45 0.38
364 214 0.41
348 755 0.10
292 395 0.30
45 685 0.84
83 262 0.64
144 130 0.12
538 478 0.47
993 371 0.32
832 63 0.56
835 932 0.33
636 729 0.32
808 56 0.25
649 680 0.42
64 472 0.46
784 961 0.40
988 289 0.23
36 150 0.38
64 375 0.65
103 174 0.22
585 187 0.36
666 92 0.67
64 742 0.43
926 650 0.19
103 319 0.63
680 272 0.29
595 223 0.17
45 130 0.41
323 992 0.59
125 436 0.28
253 127 0.98
92 163 0.42
384 108 0.01
182 37 0.38
346 306 0.42
842 671 0.73
256 86 0.59
368 949 0.51
111 103 0.36
938 481 0.92
347 132 0.17
6 17 0.18
484 107 0.91
343 176 0.11
381 509 0.79
721 0 0.76
501 744 0.57
798 924 0.00
694 861 0.73
932 834 0.68
479 161 0.23
959 107 0.97
191 253 0.17
450 937 0.60
712 428 0.13
531 880 0.62
90 448 0.91
198 715 0.51
273 672 0.43
38 864 0.08
385 818 0.87
78 673 0.29
356 259 0.84
820 146 0.05
159 992 0.03
8 418 0.90
288 146 0.05
92 872 0.78
127 465 0.77
402 230 0.28
4 54 0.79
612 163 0.21
407 155 0.96
327 160 0.41
479 357 0.75
189 95 0.19
504 623 0.38
212 416 0.12
584 851 0.00
235 769 0.39
891 730 0.95
411 378 0.87
583 0 0.57
911 569 0.18
515 864 0.78
71 300 0.05
791 983 0.12
154 392 0.93
600 120 0.40
601 289 0.98
178 50 0.40
53 850 0.05
738 218 0.10
204 738 0.32
999 161 0.54
909 185 0.85
933 307 0.76
349 428 0.94
847 477 0.56
61 472 0.39
500 40 0.04
836 578 0.89
488 720 0.29
732 915 0.01
720 939 0.45
371 317 0.56
206 382 0.53
651 479 0.20
762 438 0.78
193 881 0.21
894 171 0.94
883 406 0.82
920 396 0.19
314 935 0.06
23 525 0.08
318 999 0.78
798 429 0.86
106 69 0.52
613 402 0.72
867 894 0.42
819 963 0.02
107 565 0.51
306 658 0.44
841 799 0.79
262 105 0.10
10 158 0.51
341 672 0.57
105 20 0.49
12 576 0.68
0 408 0.42
55 674 0.01
684 82 0.90
578 973 0.42
295 243 0.97
211 992 0.41
837 636 0.52
824 565 0.13
586 700 0.27
181 248 1.00
256 161 0.78
590 92 0.05
848 331 0.97
349 818 0.96
668 766 0.11
280 295 0.78
298 804 0.16
318 291 0.12
502 524 0.19
380 104 0.16
146 752 0.31
954 811 0.75
973 253 0.60
186 657 0.78
377 982 0.69
481 880 0.86
425 456 0.35
761 952 0.41
602 136 0.83
237 83 0.23
133 168 0.93
464 753 0.61
869 670 0.80
137 173 0.77
82 832 0.58
13 578 0.95
640 276 0.93
416 116 0.52
762 709 0.07
834 86 0.41
998 973 0.78
32 68 0.44
160 393 0.34
986 781 0.67
4 42 0.92
153 752 0.15
373 853 0.72
193 247 0.72
505 197 0.90
838 641 0.78
749 474 0.20
967 39 0.02
770 609 0.63
751 636 0.64
865 549 0.39
424 445 0.12
574 159 0.03
705 92 0.53
562 767 0.84
669 697 0.40
140 425 0.65
913 111 0.33
329 352 0.67
628 844 0.02
45 612 0.27
946 241 0.03
782 891 0.69
640 848 0.33
511 217 0.85
594 703 0.63
832 200 0.40
634 76 0.90
32 512 0.05
830 726 0.05
779 544 0.01
672 720 0.15
340 326 0.89
628 657 0.15
849 676 0.33
649 736 0.36
103 97 0.47
527 707 0.37
913 683 0.93
663 259 0.37
723 108 0.17
334 399 0.83
687 393 0.49
747 146 0.92
895 362 0.41
673 752 0.83
727 573 0.34
258 642 0.36
44 119 0.01
101 354 0.70
67 302 0.28
926 365 0.44
600 575 0.61
391 994 0.34
806 775 0.69
950 119 0.64
972 539 0.53
788 278 0.06
239 244 0.69
570 475 0.49
3 746 0.73
974 121 0.29
634 994 0.76
927 845 0.36
684 54 0.62
998 466 0.94
104 952 0.83
413 72 0.08
731 245 0.50
293 946 0.08
918 755 0.85
78 332 0.11
513 811 0.19
753 494 0.11
609 898 0.55
789 654 0.16
678 702 0.15
346 959 0.45
555 193 0.90
21 613 0.59
260 483 0.53
319 832 0.77
48 525 0.45
985 284 0.63
378 268 0.95
87 484 0.57
751 845 0.22
181 879 0.07
294 6 0.40
242 335 0.14
869 690 0.67
817 863 0.82
838 963 0.52
493 862 0.23
522 764 0.52
616 239 0.62
375 350 0.26
51 188 0.64
333 838 0.22
887 419 0.22
502 71 0.66
252 634 0.63
390 882 0.48
446 526 0.15
51 90 0.07
783 405 0.45
862 118 0.11
294 706 0.38
978 627 0.97
748 9 0.21
987 963 0.55
986 690 0.01
980 84 0.64
636 694 0.82
527 513 0.76
287 300 0.73
969 477 0.57
37 309 0.28
280 534 0.96
615 840 0.50
173 181 0.07
162 582 0.09
141 343 0.53
153 185 0.54
965 58 0.15
478 699 0.64
262 388 0.07
463 269 0.46
27 513 0.75
323 886 0.99
110 594 0.80
733 191 0.07
537 460 0.15
263 106 0.20
896 381 0.18
676 769 0.02
475 192 0.30
223 870 0.45
59 769 0.72
885 405 0.03
262 166 0.49
10 199 0.17
769 18 0.94
342 259 0.44
215 115 0.93
362 709 0.16
774 156 0.57
190 294 0.83
7 916 0.70
156 498 0.27
110 121 0.51
510 823 0.23
656 793 0.50
677 641 0.15
74 982 0.31
203 774 0.93
220 888 0.07
830 481 0.57
833 387 0.84
722 534 0.15
319 868 0.66
32 29 0.69
51 363 0.67
105 697 0.94
596 533 0.33
8 22 0.46
407 374 0.30
123 333 0.52
406 330 0.35
78 919 0.36
248 746 0.92
190 717 0.15
321 866 0.77
875 455 0.19
286 908 0.90
164 488 0.44
832 274 0.80
464 886 0.62
117 441 0.93
348 867 0.77
960 101 0.08
301 339 0.95
467 23 0.08
370 886 0.35
595 275 0.09
120 881 0.35
249 851 0.02
983 648 0.27
657 340 0.38
415 108 0.46
418 704 0.47
182 361 0.68
382 17 0.75
2 3 0.48
489 237 0.01
245 680 0.92
428 120 0.55
193 773 0.68
452 118 0.10
35 38 0.02
236 989 0.04
663 696 0.39
41 729 0.60
7 52 0.36
555 572 0.19
120 301 0.07
873 401 0.81
766 164 0.77
180 527 0.80
841 755 0.75
898 410 0.87
920 254 0.48
168 867 0.04
725 885 0.36
449 570 0.51
690 984 0.07
195 74 0.92
582 586 0.79
786 667 0.52
414 232 0.35
180 702 0.91
531 548 0.97
43 142 0.73
595 941 0.28
686 596 0.02
816 910 0.27
780 553 0.75
881 744 0.59
534 536 0.87
388 850 0.95
320 696 0.28
427 252 0.53
523 265 0.60
697 238 0.62
826 458 0.90
111 324 0.66
595 651 0.57
617 327 0.56
215 746 0.27
19 71 0.76
256 403 0.42
275 177 0.55
313 358 0.44
122 990 0.38
159 995 0.33
787 74 0.88
554 451 0.08
826 556 0.99
39 265 0.31
276 717 0.63
556 629 0.79
721 434 0.75
635 148 0.80
709 869 0.67
341 33 0.74
506 480 0.51
363 425 0.92
94 299 0.42
575 312 0.96
117 714 0.72
144 946 0.79
532 621 0.18
627 937 0.40
477 722 0.85
938 836 0.29
373 993 0.82
249 307 0.50
911 651 0.66
477 835 0.37
892 626 0.16
13 225 0.12
274 719 0.60
101 824 0.81
624 79 0.90
496 722 0.80
442 396 0.80
353 63 0.59
316 421 0.49
245 505 0.73
867 421 0.36
630 85 0.21
259 206 0.09
502 472 0.80
692 568 0.45
788 831 0.39
550 682 0.92
221 96 0.03
166 675 0.51
16 184 0.58
144 397 0.55
1 308 0.40
770 113 0.06
183 36 0.39
903 303 0.22
776 706 0.72
463 340 0.01
905 930 0.96
743 44 0.67
282 279 0.88
609 72 0.78
242 563 0.47
495 871 0.15
594 796 0.65
426 698 0.73
998 122 0.95
175 689 0.42
15 908 0.28
72 206 0.99
824 873 0.92
851 356 0.37
357 211 0.43
174 507 0.49
586 987 0.13
876 753 0.37
716 926 0.66
37 769 0.54
495 69 0.10
423 296 0.40
44 35 0.49
334 253 0.43
279 836 0.47
505 785 0.57
256 51 0.74
292 721 0.72
183 488 0.65
794 575 0.07
427 58 0.61
716 636 0.55
241 420 0.94
668 767 0.46
565 865 0.29
621 569 0.19
398 376 0.01
733 683 0.84
682 975 0.37
57 58 0.93
39 126 0.26
461 296 0.82
693 205 0.10
858 140 0.21
95 807 0.89
792 306 0.95
677 601 0.13
38 141 0.80
826 593 0.16
593 314 0.07
868 244 0.50
464 754 0.06
764 421 0.38
985 432 0.07
939 355 0.69
557 816 0.37
333 976 0.01
778 687 0.55
943 363 0.41
523 608 0.23
564 124 0.09
400 409 0.86
473 245 0.07
200 923 0.49
881 208 0.93
256 669 0.48
65 3 0.39
321 953 0.01
620 315 0.05
621 14 0.09
30 963 0.83
201 707 0.82
402 346 0.60
758 425 0.40
27 75 0.00
416 706 0.97
397 85 0.80
398 982 0.12
883 904 0.71
571 886 0.84
369 614 0.37
44 782 0.02
192 57 0.82
306 17 0.54
17 194 0.37
515 863 0.08
308 967 0.26
182 644 0.47
80 878 0.12
814 329 0.51
236 353 0.76
550 327 0.49
37 272 0.52
279 311 0.87
62 701 0.33
927 379 0.91
837 249 0.49
639 173 0.09
343 608 0.29
418 665 0.89
715 661 0.70
700 39 0.03
165 700 0.74
153 220 0.46
26 82 0.65
248 222 0.71
28 740 0.99
709 447 0.39
918 197 0.86
23 931 0.35
896 483 0.54
179 737 0.31
732 231 0.97
676 927 0.18
141 532 0.00
499 124 0.24
764 688 0.57
301 206 0.82
859 748 0.75
242 678 0.79
205 306 0.47
133 533 0.32
779 495 0.26
584 133 0.55
141 758 0.22
91 439 0.50
38 658 0.28
972 532 0.40
812 109 0.07
850 952 0.64
98 821 0.24
7 141 0.72
926 509 0.15
263 436 0.81
713 577 0.05
845 68 0.96
648 640 0.89
774 64 0.29
425 410 0.69
119 272 0.27
618 721 0.77
712 406 0.49
536 228 0.88
419 808 0.61
55 980 0.26
772 688 0.46
83 835 0.86
744 7 0.57
248 898 0.93
265 434 0.39
815 626 0.13
372 840 0.51
216 416 0.01
858 19 0.46
379 60 0.78
270 189 0.87
68 577 0.74
955 859 0.76
96 794 0.29
78 670 0.13
385 889 0.58
543 944 0.60
530 273 0.64
41 356 0.84
192 712 0.35
65 126 0.86
145 198 0.26
553 705 0.66
456 813 0.41
19 349 0.25
8 202 0.10
247 771 0.74
321 901 0.46
913 185 0.12
568 386 0.33
956 889 0.31
403 619 0.53
260 800 0.06
853 495 0.23
321 822 0.27
468 67 0.57
360 716 0.36
914 293 0.44
130 340 0.26
57 748 0.81
540 239 0.55
445 365 0.51
658 798 0.18
614 679 0.86
897 623 0.98
400 65 0.52
952 750 0.76
207 68 0.47
814 212 0.44
249 950 0.95
505 284 0.78
840 591 0.25
127 957 0.24
789 410 0.99
559 256 0.53
687 319 0.41
14 911 0.93
823 143 0.59
805 896 0.93
851 62 0.09
651 486 0.20
34 508 0.04
382 468 0.72
776 873 0.89
780 849 0.98
326 655 0.80
292 523 0.22
955 221 0.25
794 341 0.36
580 166 0.31
673 524 0.09
744 423 0.11
33 286 0.38
807 334 0.30
239 120 0.97
449 718 0.30
854 687 0.40
110 143 0.69
264 677 0.82
229 771 0.73
806 413 0.95
972 877 0.29
683 482 0.52
316 649 0.14
446 28 0.09
365 84 0.01
759 260 0.66
247 80 1.00
812 548 0.33
808 623 0.03
826 760 0.29
574 122 0.17
8 23 0.45
28 74 0.39
673 283 0.40
313 660 0.16
598 223 0.88
502 160 0.79
545 961 0.75
770 550 0.80
886 218 0.00
45 538 0.22
908 920 0.55
35 540 0.27
532 680 0.61
205 852 0.06
667 67 0.31
334 520 0.39
944 972 0.99
874 517 0.86
505 478 0.67
361 622 0.36
197 496 0.35
364 359 0.71
738 52 0.33
352 359 0.98
279 270 0.12
211 172 0.22
672 682 0.46
692 549 0.25
434 885 0.72
805 834 0.71
908 77 0.47
839 615 0.37
93 65 0.17
168 296 0.80
573 343 0.54
941 147 0.60
500 69 0.67
466 53 0.28
763 841 0.82
546 709 0.72
714 287 0.00
879 571 0.22
515 194 0.25
667 911 0.09
997 652 0.03
776 694 0.20
175 668 0.75
586 853 0.14
280 896 0.40
818 384 0.40
140 660 0.31
239 190 0.90
560 215 0.20
906 815 0.26
621 818 0.48
38 730 0.05
402 638 0.94
846 125 0.82
975 667 0.42
651 113 0.66
851 425 0.80
362 550 0.05
185 231 0.02
756 362 0.13
423 101 0.09
522 238 0.44
47 713 0.17
232 198 0.74
604 806 0.03
661 281 0.53
534 537 0.14
699 986 0.31
902 221 0.46
74 888 0.71
510 848 0.28
955 677 0.51
99 263 0.37
523 409 0.74
397 620 0.21
159 861 1.00
273 678 0.65
660 854 0.82
844 219 0.52
200 642 0.60
933 522 0.79
544 743 0.01
949 304 0.05
865 829 0.01
242 404 0.57
394 689 0.55
913 359 0.69
39 665 0.36
702 43 0.23
201 550 0.06
971 6 0.93
844 264 0.17
776 135 0.74
23 474 0.17
444 13 0.28
596 264 0.08
107 205 0.97
162 826 0.84
108 162 0.96
571 730 0.47
877 481 0.75
165 933 0.47
173 474 0.39
691 165 0.35
3 167 0.36
641 569 0.44
966 424 0.10
255 179 0.85
537 760 0.21
473 709 0.14
912 116 0.84
330 425 0.58
225 213 0.46
633 208 0.40
525 504 0.64
714 307 0.94
76 856 0.40
499 99 0.95
278 712 0.82
45 83 0.84
413 943 0.99
548 190 0.09
186 91 0.48
685 3 0.77
894 395 0.10
181 292 0.20
55 271 0.82
447 417 0.67
929 418 0.69
722 155 0.01
727 238 0.29
289 956 0.83
452 408 0.65
509 729 0.74
674 73 0.86
423 158 0.87
81 451 0.67
782 483 0.39
397 575 0.42
307 897 0.65
164 798 0.46
346 985 0.83
219 349 0.81
630 697 0.88
298 68 0.68
526 996 0.86
294 24 0.13
955 830 0.06
43 792 0.72
854 32 0.50
394 706 0.64
181 698 0.53
238 965 0.90
772 499 0.47
203 94 0.35
826 705 0.17
61 852 0.26
95 964 0.73
946 570 0.16
378 200 0.21
160 395 0.85
912 758 0.27
843 910 0.18
881 215 0.19
347 735 0.08
648 176 0.82
99 110 0.57
706 410 0.26
501 270 0.09
338 714 0.77
322 403 0.26
99 255 0.67
766 869 0.11
17 48 0.24
92 620 0.36
499 914 0.83
64 245 0.79
355 470 0.44
249 191 0.06
545 634 0.90
624 29 0.75
145 404 0.86
353 233 0.75
453 94 0.78
248 368 0.46
987 647 0.57
896 710 0.02
880 853 0.59
845 733 0.40
789 389 0.33
644 664 0.94
830 679 0.75
227 974 0.53
139 336 0.82
982 866 0.65
179 627 0.22
54 877 0.12
295 589 0.91
921 166 0.92
845 575 0.53
148 337 0.32
205 672 0.71
828 307 0.73
673 758 0.10
253 180 0.92
861 309 0.30
281 289 0.31
449 967 0.97
674 280 0.74
487 631 0.47
785 657 0.66
950 117 0.25
147 392 0.73
253 37 0.67
141 757 0.15
21 431 0.33
388 614 0.15
206 997 0.91
483 544 0.41
551 979 0.62
256 16 0.19
607 983 0.39
936 658 0.71
572 558 0.53
500 625 0.16
157 208 0.21
581 712 1.00
306 918 0.39
626 995 0.41
399 151 0.60
312 295 0.10
534 598 0.29
533 437 0.39
206 647 0.75
82 625 0.17
998 419 0.20
547 713 0.83
693 191 0.90
399 4 0.76
419 858 0.27
898 869 0.09
570 797 0.40
789 765 0.39
192 555 0.33
373 612 0.83
137 126 0.65
636 46 0.98
543 546 0.15
402 10 0.86
57 823 0.74
407 511 0.73
263 891 0.49
764 458 0.40
928 206 0.40
143 289 0.96
203 122 0.16
518 759 0.33
702 16 0.45
924 58 0.63
726 906 0.61
319 544 0.15
506 25 0.33
881 243 0.60
754 323 0.05
38 392 0.94
56 360 0.61
296 311 0.31
478 67 0.31
819 133 0.68
692 189 0.12
363 257 0.94
680 733 0.76
203 344 0.11
705 62 0.70
226 27 0.37
27 86 0.11
283 448 0.38
411 183 0.43
736 724 0.15
771 439 0.09
601 494 0.80
250 260 0.59
602 593 0.96
605 398 0.62
258 177 0.63
900 736 0.71
83 476 0.00
374 685 0.22
88 326 0.73
197 428 0.02
295 787 0.17
22 73 0.46
153 782 0.16
649 689 0.83
905 799 0.22
488 667 0.46
250 486 0.45
965 919 0.20
770 135 0.79
611 995 0.43
353 983 0.46
935 976 0.59
862 688 0.32
386 271 0.98
858 751 0.81
215 446 0.75
871 787 0.81
96 157 0.14
59 771 0.67
522 489 0.06
560 812 0.68
690 675 0.00
567 427 0.29
806 801 0.42
362 688 0.49
592 605 0.45
664 890 0.71
746 218 0.24
509 784 0.16
552 559 0.77
163 910 0.25
573 871 0.26
466 549 0.36
547 788 0.36
696 570 0.83
659 430 0.23
161 177 0.84
87 55 0.62
238 65 0.65
204 369 0.01
721 25 0.64
573 984 0.59
759 737 0.36
704 873 0.71
313 223 0.14
960 878 0.21
962 180 0.63
450 64 0.45
15 40 0.82
604 609 0.28
74 980 0.22
270 239 0.97
136 207 0.10
621 290 0.33
105 558 0.84
587 670 0.98
454 907 0.08
41 310 0.75
242 369 0.29
942 908 0.27
523 602 0.59
483 105 0.58
302 559 0.83
890 453 0.66
247 192 0.61
778 612 0.68
35 801 0.96
400 482 0.10
754 359 0.66
921 768 0.60
669 718 0.05
571 832 0.93
633 767 0.20
27 50 0.05
598 335 0.12
469 393 0.51
161 840 0.18
166 475 0.81
60 186 0.44
443 802 0.49
230 750 0.16
981 302 0.82
476 298 0.02
365 697 0.26
494 935 0.39
814 134 0.61
11 631 0.22
374 649 0.47
32 586 0.19
37 471 0.01
455 968 0.51
836 617 0.88
249 849 0.15
908 78 0.78
819 349 0.79
348 899 0.58
934 702 0.12
455 857 0.85
317 664 0.30
232 764 0.46
469 973 0.04
720 849 0.79
292 842 0.71
940 846 0.63
813 472 0.72
10 391 0.43
28 860 0.47
219 775 0.24
524 156 0.98
48 173 0.92
231 724 0.52
20 963 0.02
185 772 0.35
45 272 0.53
910 812 0.23
216 942 0.33
582 569 0.73
987 139 0.23
487 959 0.65
509 835 0.31
953 271 0.18
0 447 0.99
759 935 0.68
557 245 0.18
940 3 0.72
659 605 0.00
141 910 0.84
219 82 0.46
733 980 0.26
366 167 0.30
169 681 0.39
993 655 0.11
526 751 0.96
308 228 0.18
349 860 0.86
413 447 0.21
933 696 0.25
660 992 0.84
593 67 0.64
920 781 0.58
649 369 0.96
660 855 0.73
246 730 0.90
778 294 0.96
247 55 0.44
195 648 1.00
694 626 0.52
473 110 0.28
772 280 0.16
517 219 0.56
971 168 0.84
757 631 0.06
166 229 0.37
313 695 0.75
739 37 0.14
639 452 0.17
51 103 0.13
532 734 0.77
457 284 0.19
981 337 0.04
451 826 0.59
766 985 0.08
235 915 0.88
821 696 0.28
970 194 0.78
952 585 0.90
447 782 0.40
623 893 0.84
443 959 0.35
867 423 0.53
47 305 0.73
990 291 0.29
49 437 0.49
433 86 0.22
839 586 0.70
453 155 0.71
404 945 0.27
426 809 0.35
560 519 0.36
